title,rating,date,pros,cons,company,ticker,property_type,scrape_date,glassdoor_url
Great Place to Work,5.0,"Aug 23, 2025",Many employees spend their entire careers at this company.,No cons for this great company.,W. P. Carey Inc.,WPC,Diversified,2025-11-20,https://www.glassdoor.com/Reviews/W-P-Carey-Reviews-E7682.htm
"Old school company, but pays exceptional",2.0,"Jan 11, 2024",- High pay - Fully covered benefits - Easy jobs/lacks driven management,"- Old boys club, not a meritocracy - Very anti-diversity at executive level",W. P. Carey Inc.,WPC,Diversified,2025-11-20,https://www.glassdoor.com/Reviews/W-P-Carey-Reviews-E7682.htm
W.P. Carey,5.0,"Mar 28, 2024",Fantastic company culture with extensive compensation and health benefits package,None to report at the moment,W. P. Carey Inc.,WPC,Diversified,2025-11-20,https://www.glassdoor.com/Reviews/W-P-Carey-Reviews-E7682.htm
Great place to intern,5.0,"Oct 29, 2023",Loved the company culture and atmosphere. Everyone was really nice and I learned a lot in my time there,A relocation stipend would have been nice,W. P. Carey Inc.,WPC,Diversified,2025-11-20,https://www.glassdoor.com/Reviews/W-P-Carey-Reviews-E7682.htm
Great company,5.0,"Aug 2, 2023","Benefits, smart and motivated people, lots of events. Great office space and location.Hybrid schedule.",Some departments are not very diverse.,W. P. Carey Inc.,WPC,Diversified,2025-11-20,https://www.glassdoor.com/Reviews/W-P-Carey-Reviews-E7682.htm
Heresy company great people,5.0,"May 4, 2023",Culture People Benefits Rewards for hard work,Sometimes hard to plan vacation since you are irreplacable,W. P. Carey Inc.,WPC,Diversified,2025-11-20,https://www.glassdoor.com/Reviews/W-P-Carey-Reviews-E7682.htm
Room for improvement,2.0,"Mar 11, 2015",Mid & lower level employees generally nice and nice to work with. Benefits are decent (although not as good as they used to be). Exposure to interesting real estate transactions world-wide. The CEO still seems to very much care about the employees and has genuine interest in the company & the morale of all.,"Expectations are unrealistic, and the extremely poor planning of a new system implementation project has made employees very stressed and extremely burned out. New management brought in over the past few years has implemented changes in culture & general work environment that create a hostile and dissatisfied work place. The general mentality is that most upper management (not including aforementioned CEO) does not care about its mid to lower level employees, with continual empty promises that ""it'll get better"" while there is no indication that it will for the foreseeable future.",W. P. Carey Inc.,WPC,Diversified,2025-11-20,https://www.glassdoor.com/Reviews/W-P-Carey-Reviews-E7682.htm
Bill Carey's legacy of dedication to investors,5.0,"Oct 12, 2017","Best experience of my career! I was very honored to have been a part of Bill Carey's legacy. His value system, which focused on putting the investors first, permeated the organization. He was right, if you focus on what is good for the investor, everything else falls into place. This philosophy combined with smart, humble talent has contributed to an unparalleled track record over 40 years and 15 funds that have gone full cycle. I was honored to work alongside some of the best people I have known in the investment industry.",Business model is shifting and long term plan is unclear but I have no doubt this will remain a profitable and strong business.,W. P. Carey Inc.,WPC,Diversified,2025-11-20,https://www.glassdoor.com/Reviews/W-P-Carey-Reviews-E7682.htm
Going off the rails,1.0,"Sep 29, 2017","Amazing benefits, the last bastion of the prominent founder and thought leader William Polk Carey who sadly passed away about five years ago.","Glad I got out when I did. Management has regressed recently into a few people who have been there for far too many years, becoming more corrupt, incestuous and small minded by the minute. Expect another round of layoffs soon as the business model is anachronistic for a public company expected to keep its expenses under control, and there is no longer creativity or innovation in management's approach to industry challenges. Benefits are great but the compensation is subpar for many (although the ""lifers"" who grew up there and in many cases could not get jobs elsewhere if they tried - think Chief Marketing Officer who is also stunningly the head of HR although her group has the highest turnover of any in the company - still enjoy the kind of comp from the days of a private business taking 10% off the top of every investment). Over my tenure there I was unfortunate enough to witness the deterioration of a great company from the inside out.",W. P. Carey Inc.,WPC,Diversified,2025-11-20,https://www.glassdoor.com/Reviews/W-P-Carey-Reviews-E7682.htm
A place you can call home,5.0,"Dec 13, 2018","I’ve been with the company for over a decade. I’m proud to spend the bulk of my day with some of the hardest working people in the industry. People that I not only see as colleagues but as long term friends. This firm not only challenges you to think outside the box, but values what input you may bring to the table. The sense of community continues to bring me back to work each day, and I appreciate the value they see in every employee. The benefits are outstanding, and continue to be impressive throughout the years.",Nothing comes to mind at this time.,W. P. Carey Inc.,WPC,Diversified,2025-11-20,https://www.glassdoor.com/Reviews/W-P-Carey-Reviews-E7682.htm
Company is going downhill. Still performing well but employees are demotivated and unhappy.,2.0,"May 25, 2014","Good benefits, work is interesting. Company is a leader in its industry and employees feel proud about that. New systems being put in place should ultimately have a positive result on workload and processes.",Management is completely disconnected with the rest of its employees. New management that has been brought in over the last few years is trying to redefine the company and its culture. No value for the long history of success. Ridiculous expectations being set in accounting and IS departments.,W. P. Carey Inc.,WPC,Diversified,2025-11-20,https://www.glassdoor.com/Reviews/W-P-Carey-Reviews-E7682.htm
Poor Poor Management,1.0,"Nov 16, 2017",Some of the hardest and smartest working people on the lower tiers. Great personalities and great sense of camaraderie for all the low level employees.,"Upper and middle management is horrendous. As other reviewers have mentioned, the longest tenured employees are the most corrupt and incestuous. How does it make any sense to promote long tenured UNQUALIFIED people to high positions? The HR department is a joke. Turnover on all fronts should be saying something. Let’s count how many CEO and CFO changes they’ve had in 5 years. Keep that stock price up tho!",W. P. Carey Inc.,WPC,Diversified,2025-11-20,https://www.glassdoor.com/Reviews/W-P-Carey-Reviews-E7682.htm
"Old boys club...nepotism, nepotism, nepotism",2.0,"Apr 17, 2013",Great benefits (in the looooooong run). If you can tolerate being another suit in a ship full of Borg.,"The entire office culture is based on white, uptight, frat boys from family connections, stuffy Arian from Darien clubs and socialite wannabes with little to no intellectual curiosity to navigate real world business.",W. P. Carey Inc.,WPC,Diversified,2025-11-20,https://www.glassdoor.com/Reviews/W-P-Carey-Reviews-E7682.htm
"Smart people, great benefits",4.0,"May 1, 2016","Incredibly smart people, diversified vision/portfolio of products. Really good benefits as far as medical. Contributes to the community through their Carey Forward initiative. Not as high stress as most Wall Street finance firms.","Bonuses and base pay on the lower side. Change in leadership has taken a step backwards as far as innovation. Likely that the great benefits will be taken away piecemeal, as has been the trend over the past 3 years.",W. P. Carey Inc.,WPC,Diversified,2025-11-20,https://www.glassdoor.com/Reviews/W-P-Carey-Reviews-E7682.htm
