title,rating,date,pros,cons,company,ticker,property_type,scrape_date,glassdoor_url
Work,5.0,"Mar 21, 2024",Good pay and good people good environment,No cons everything great loved working gete,Whitestone REIT,WSR,Retail,2025-11-21,https://www.glassdoor.com/Reviews/Whitestone-REIT-Reviews-E354383.htm
"Dishonest Leadership, Toxic Culture – Beware",1.0,"Aug 13, 2025",Free brunches at the end of the month.,"This company has a serious transparency problem — both internally and externally. Many honest, critical reviews on this site have mysteriously disappeared over time, which is why you’re likely not seeing the full picture. If you’re reading this, there’s a good chance this review will also be deleted, just like the others that dared to speak the truth. The work culture at WhiteStone REIT is toxic, fear-driven, and unsustainable. The constant pressure, hostility, and lack of support took a real toll on my health — so much so that I ended up in the hospital for 10 days. No job should ever push an employee to that point, yet leadership here shows no concern for employee well-being. The Chief People Officer in particular operates with alarming dishonesty. After my departure, she attempted to twist facts and submit misleading information to block my unemployment benefits. Thankfully, the truth came out and I was awarded benefits, but no one should have to go through such a vindictive process after already enduring a damaging workplace. The company’s downward spiral is not just internal. Their stock has been in sharp decline since the beginning of the year, reflecting the poor decisions and lack of effective leadership at the top. High turnover, low morale, and retaliation against those who speak up are the norm. If you value your health, career, and integrity, avoid WhiteStone REIT. The truth is hidden behind carefully curated PR and removed reviews — but the problems are very real.",Whitestone REIT,WSR,Retail,2025-11-21,https://www.glassdoor.com/Reviews/Whitestone-REIT-Reviews-E354383.htm
Poor Culture and Lack of Support,1.0,"Sep 7, 2025",Some of the benefits are decent.,"My experience at Whitestone REIT was unfortunately very negative. The work environment felt disorganized and unsupportive, and communication from leadership was often unclear. Employee development and recognition were minimal, which made it difficult to feel valued or motivated. The culture leaned more toward stress and frustration than collaboration, and opportunities for growth were limited. While the company may be a fit for some, in my opinion there are healthier and more supportive workplaces out there.",Whitestone REIT,WSR,Retail,2025-11-21,https://www.glassdoor.com/Reviews/Whitestone-REIT-Reviews-E354383.htm
Great Outlook,5.0,"Jun 22, 2023","CSuite genuinely cares about their employees. They go above and beyond to try to accommodate everyone, no matter the title or rank. Bad reviews prior to the CEO change in 2022 may have some validity. Post leadership change, they are from bad apples that have benefited for too long doing below the bare minimum. Those that continue to criticize the COO or the company in general, need to take a step back and realize that accountability fosters professionalism and more efficiency. The problem isn’t the COO or Whitestone, it’s you. Instead of taking everything personally and retaliating with petty reviews, look at ways of improving your skills and work ethic and lessen your ego. I have found a work family here and look forward to coming to the office. Never have felt this way about a job before.",There’s a few bad apples left that management still sees potential in. They’re stuck in their old ways and negatively affect those who have to work with them. Company can benefit from continuing basic computer skills training. They outsource their IT to a horrible vendor.,Whitestone REIT,WSR,Retail,2025-11-21,https://www.glassdoor.com/Reviews/Whitestone-REIT-Reviews-E354383.htm
Supportive team environment,5.0,"Aug 2, 2023","My co-workers are the best. They've made me feel welcome and a part of the team from the beginning. We work hard, but also take time to play with monthly celebrations.",I cannot think of any.,Whitestone REIT,WSR,Retail,2025-11-21,https://www.glassdoor.com/Reviews/Whitestone-REIT-Reviews-E354383.htm
Three years down and I’m still here.,5.0,"Jun 14, 2023","Learning opportunities that provide you with influential real estate experience- the company is willing to invest in you. Not to mention the benefits are sweet too: healthcare, PTO, 401K… all that good jazz.",No organic fruit in communal kitchen. Thick skin is required.,Whitestone REIT,WSR,Retail,2025-11-21,https://www.glassdoor.com/Reviews/Whitestone-REIT-Reviews-E354383.htm
Enjoyable experience thus far.,5.0,"Apr 11, 2023",Great team of employees. Lots of future opportunity if you are diligent and loyal. Management change has cultivated a more positive working environment.,Low starting pay. Hard work.,Whitestone REIT,WSR,Retail,2025-11-21,https://www.glassdoor.com/Reviews/Whitestone-REIT-Reviews-E354383.htm
,1.0,"Apr 24, 2023",if you are desperate it's a pay check.,Horrible culture and company with terrible people skills. Crappy properties with struggling tenants.,Whitestone REIT,WSR,Retail,2025-11-21,https://www.glassdoor.com/Reviews/Whitestone-REIT-Reviews-E354383.htm
Work on work culture,2.0,"May 24, 2020","Health Perks, Team Bonding Events, Coffee/Snacks. I learned a lot about property management. I had some great memories with specific teammates who were helpful and validating.","If you want a job that talks you down and makes you feel like everything you do is never enough, then join Whitestone. They do not know the first thing about treating hard working employees. Full of criticism, and no positive reinforcements, they expect you to take on more than the job entails, but don't show gratitude for taking on additional roles (just more criticism). The job in property management itself can already be challenging enough, but the toxic work environment makes things worse.",Whitestone REIT,WSR,Retail,2025-11-21,https://www.glassdoor.com/Reviews/Whitestone-REIT-Reviews-E354383.htm
Warning don't interview,1.0,"Jan 28, 2016","They pay for travel expenses, training, and professional organizations generously. The Phoenix office seems to be well run and a great place to work. Their management is solid. Non of the",seem to apply to the Phoenix office.,Whitestone REIT,WSR,Retail,2025-11-21,https://www.glassdoor.com/Reviews/Whitestone-REIT-Reviews-E354383.htm
It is not for Everyone,4.0,"Feb 18, 2020","I have seen this company evolve over time for many years. I can tell you that there have been some major improvements that have been an up hill battle to implement. Is it for everyone, No it is not. Like many places, not everyone is a good fit. There is room for improvement and the teams that are making those improvements are busting the humps to make those changes happen. One thing that I will say, is that this place will teach you a lot about real estate.",This place is not for everyone. It is a challenge but if you are up for then it can be rewarding. If you are not then you will fail here.,Whitestone REIT,WSR,Retail,2025-11-21,https://www.glassdoor.com/Reviews/Whitestone-REIT-Reviews-E354383.htm
Professional,1.0,"Apr 20, 2016","When people first start working with WSR they believe the hype: it's a fun, professional, exciting new atmosphere, where you can grow, and learn more about the real estate business. Honestly, they have been known to take back promotions initially promised, or just plainly disregard employees with the potential to grow/learn other roles with the company.",Stop allowing favoritism dictate how you promote certain employees; Allow loyalty to be earned and not given because certain employees snitch and or lie on employees; have some Dignity on how you address matters that mean something to your current/future employees. Remember how you treat people in the past and in the future will have a direct reflection on your business.,Whitestone REIT,WSR,Retail,2025-11-21,https://www.glassdoor.com/Reviews/Whitestone-REIT-Reviews-E354383.htm
Great Company with Really Great People,5.0,"Apr 11, 2021","Through the year and a half I have been at Whitestone, I have to say that the people there have truly made it a worthwhile experience. Not every company gets to have associates as great as the ones at WSR, and for that I'm truly thankful. They also genuinely care for all the employees, make sure that they're well taken care of. Everyone at this company is in really good hands with really good leadership. I would highly recommend working at a company like Whitestone with people as awesome as the ones we have!","Aside from the workload on some days, I honestly can't really think of any disadvantages of working for a company as great as Whitestone.",Whitestone REIT,WSR,Retail,2025-11-21,https://www.glassdoor.com/Reviews/Whitestone-REIT-Reviews-E354383.htm
Upper Mgmt Doesn't Get It,1.0,"May 5, 2018",Good co-workers Decent Salary Good opp to add diversity to your resume,Upper management doesn't trust their employees Over work / over load their employees - no departmental support Doesn't understand their business overall Doesn't care about their lease holders Not in line with industry salaries based on what positions are expected to do Upper management is too busy patting themselves on their own back to recognize what the employees are accomplishing,Whitestone REIT,WSR,Retail,2025-11-21,https://www.glassdoor.com/Reviews/Whitestone-REIT-Reviews-E354383.htm
No trust. Nepotism. Toxic,1.0,"Jan 29, 2020",Co-workers. But they leave so its not very good. Everyone is a stock holder. My $50 worth of stock allowed me to get an extra $1.75 a month in dividends.,"Upper management is full of nepotism and they do not hide their favoritism. HR is powerless to do anything real except plan the next health event. One executive I worked for makes you repeat your work even though they have not reviewed it. I on more than 1 occasion made reports for them and was told to make it better with no real direction. I just handed the same report back 2 days later and got a ""that's more like it"". Cameras are EVERYWHERE in the office so the CEO can keep tabs on employees.",Whitestone REIT,WSR,Retail,2025-11-21,https://www.glassdoor.com/Reviews/Whitestone-REIT-Reviews-E354383.htm
Great company for someone who is looking to grow! Personally and professionally,4.0,"Feb 10, 2020",The Austin office has an incredibly friendly office culture and you become part of the Whitestone family. There are always learning opportunities and potential growth within the company. They own and manage their own properties so you know they genuinely care about maintaining their properties.,"Weak presence in real estate market but even better opportunity to get out there and network! Salaries are not as high as other larger companies, but always willing to work with you!",Whitestone REIT,WSR,Retail,2025-11-21,https://www.glassdoor.com/Reviews/Whitestone-REIT-Reviews-E354383.htm
An evolving company,4.0,"Mar 30, 2019",The people there are great. They are helpful and provide tons of help and information. Their interview and hiring process was smooth and completed in a timely manner. The manager I worked under provided clear explanations for why things are done a certain way.,They could provide more holidays. Less work load. More department cross training so that department roles and how they impact each other are more defined.,Whitestone REIT,WSR,Retail,2025-11-21,https://www.glassdoor.com/Reviews/Whitestone-REIT-Reviews-E354383.htm
