title,rating,date,pros,cons,company,ticker,scrape_date,glassdoor_url
Great Company,5.0,"Mar 13, 2024","- Integrity - do the right thing - no shenanigans or questionable practices - Profitability - very strong investment model - smart and long term strategy - Investment Strategy - investment leaders understand the economy and how to effectively invest in all markets - Small company mentality with large company results - Beautiful, comfortable work environment - Fair and generous compensation and benefits - Recognition for achievements",I'll never find a better place to work.,"MFA Financial, Inc.",MFA,2025-11-11,https://www.glassdoor.com/Reviews/MFA-Financial-Inc-Reviews-E8022.htm
Worklife at MFA,3.0,"Oct 26, 2023",Good benefits Competitive salaries Flexible hours,Internal politics Authoritative and impediments in growth,"MFA Financial, Inc.",MFA,2025-11-11,https://www.glassdoor.com/Reviews/MFA-Financial-Inc-Reviews-E8022.htm
Great/Friendly Culture,5.0,"Apr 18, 2022","- amazing culture
- helpful & friendly environment
- beautiful new office",there are no cons I can think of,"MFA Financial, Inc.",MFA,2025-11-11,https://www.glassdoor.com/Reviews/MFA-Financial-Inc-Reviews-E8022.htm
Experience,3.0,"Mar 16, 2022",Great new office in one Vanderbilt. Culture and people,Nothing really negative to say. Pay could be better,"MFA Financial, Inc.",MFA,2025-11-11,https://www.glassdoor.com/Reviews/MFA-Financial-Inc-Reviews-E8022.htm
Friendly place to wokr,3.0,"Feb 28, 2021",Good company culture. Small office environment,Upper management is very old school,"MFA Financial, Inc.",MFA,2025-11-11,https://www.glassdoor.com/Reviews/MFA-Financial-Inc-Reviews-E8022.htm
Good,4.0,"Aug 14, 2020",Great Company to work for overall,I do not have any cons to this.,"MFA Financial, Inc.",MFA,2025-11-11,https://www.glassdoor.com/Reviews/MFA-Financial-Inc-Reviews-E8022.htm
One of the Best Companies in Alabama!,5.0,"Nov 5, 2025","Excellent Pay, Excellent Benefits, Great People, Culture is great!",There isn’t really anything I don’t like about this company,Medical Properties Trust Inc.,MPW,2025-11-11,https://www.glassdoor.com/Reviews/Medical-Properties-Trust-Reviews-E37806.htm
Great Compensation but Toxic Culture,1.0,"May 28, 2025",Best available medical benefits at extremely low cost to the employee. Really good base pay and generous annual bonus.,Toxic culture that starts at the top. A lot of nepotism. They rule their employees through fear and threats. You will have very little work-life balance. The PTO is not great.,Medical Properties Trust Inc.,MPW,2025-11-11,https://www.glassdoor.com/Reviews/Medical-Properties-Trust-Reviews-E37806.htm
Outlook is not looking good,1.0,"Jan 12, 2025",Benefits were some of the best that I’ve seen.,"Fear based culture, not family friendly, coworkers seemed unhappy, subpar portfolio of tenants that seem to have regular liquidity issues. Employees seem to be younger and more impressionable. They’ve never worked in a good culture so don’t know any better. Only like to promote within.",Medical Properties Trust Inc.,MPW,2025-11-11,https://www.glassdoor.com/Reviews/Medical-Properties-Trust-Reviews-E37806.htm
Toxic work environment,1.0,"May 15, 2024",They pay very well and have great benefits,"The work environment is very toxic. They manage with fear and intimidation. No encouragement or appreciation. Starts from the top. Most of management manages this way. Pay is great, but in the end not worth not having any work/life balance and being overworked and unappreciated. Friends and family members of the CEO are assured to get a job and promotions, while doing NOTHING!!!",Medical Properties Trust Inc.,MPW,2025-11-11,https://www.glassdoor.com/Reviews/Medical-Properties-Trust-Reviews-E37806.htm
Horrible Company Horrible Culture,1.0,"Mar 29, 2024",Benefits are amazing and low cost to employees.,This place is horrible. The quack industrial psychologist they brag about is really a failed clinical psychologist pretending to be and I/O psychologist. I’m almost certain there some ethical concerns with this. There is no chance for advancement if you’re not white.,Medical Properties Trust Inc.,MPW,2025-11-11,https://www.glassdoor.com/Reviews/Medical-Properties-Trust-Reviews-E37806.htm
Terrible company,1.0,"Feb 11, 2024",None terrible place to work and support,Try to persuade you to the Democratic Party. So many stipulations and micro managing.,Medical Properties Trust Inc.,MPW,2025-11-11,https://www.glassdoor.com/Reviews/Medical-Properties-Trust-Reviews-E37806.htm
Great benefits,2.0,"Oct 26, 2023",Benefit package is excellent and low cost,The culture has changed negatively,Medical Properties Trust Inc.,MPW,2025-11-11,https://www.glassdoor.com/Reviews/Medical-Properties-Trust-Reviews-E37806.htm
Great Company,5.0,"Jul 19, 2022",Benefits and Pay are very good,No comments to be made,Medical Properties Trust Inc.,MPW,2025-11-11,https://www.glassdoor.com/Reviews/Medical-Properties-Trust-Reviews-E37806.htm
