title,date,pros,cons,company,ticker,property_type,scrape_date,glassdoor_url
"Great culture, teams run lean, growth opportunities limited","Nov 6, 2025",Great culture - collaborative and generally good people Team runs lean so you get do own more but means hard work and long hours (potentially),"Growth opportunities limited, some managers need work","Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm
Really impressed with this company,"Sep 8, 2025","After spending a decade in big tech, I was surprised to find a company that takes many of the great attributes and leaves the negative aspects of many other big Silicon Valley corporations (in my experience since being here 1.5 years). From the comprehensive (and fun!) multi-day, in-person onboarding trainings, to company-wide volunteer days (IMPACT Day), social events that embrace different cultures and celebrate diversity - Prologis is a company that invests in its employees. I also appreciate that it routinely asks employees what it can do better, and listens. Teams are continually driving towards excellence - whether that’s finding a more effective process or implementing new technology to help teams work smarter. But in my experience, being “human” is still valued. People lead with kindness and empathy in a way that feels really genuine. The cascading effect creates a team dynamic that is pretty rare in my experience.","For those that love remote work, we’re currently in the office 3x/week (may vary based on the team). At least the snacks are good :)","Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm
"Not too good, Not too bad","Oct 31, 2025","Work-life balance is great, lots of PTO and holidays, rarely working a full 40 hours, great office location, and perks","Very lean company with lots of turnover, constant reshuffling of department structure, fast-paced, and very easy to get behind","Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm
Energizing People and Portfolios,"Jun 13, 2025","Working at Prologis has been one of the most rewarding experiences of my career. The company truly values both its clients and employees, and that shows up in everything we do. What I appreciate most is how grounded we are in our core values of integrity, accountability, passion and teamwork while always looking ahead and embracing change. I’ve felt empowered to ask bold questions, bring new ideas forward and collaborate with incredibly thoughtful and driven teammates. The culture here is proactive, supportive and genuinely human. Prologis doesn't just talk about making an impact, we live it every day together","Prologis moves at such a fast pace and sets a high bar for performance, it can take time to adjust if you're new to the industry or not used to cross-functional collaboration. The environment expects proactive thinking, which is incredibly rewarding, but also requires you to stay sharp and flexible.","Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm
Acquisitions and Development Analyst,"Sep 4, 2025","- Lots of responsibility given to their employees. Team provides you lots of real, impactful work. - As an analyst in your first year, you can be playing a significant role on very large transactions. - Incredibly supportive culture that helps you learn and is open to you asking questions (incredibly rare to find in finance facing roles). - Unbelievable exposure to wide range of business lines. - Be at the cusp of innovation with the commercial real estate business, AI in real estate, ect.",- Lots of quarterly projects that the analysts have to handle and complete due to being a large public company.,"Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm
Horrible Place to Work,"Aug 26, 2025",They promote people fast if you are a part of their clique. Good work life balance if they like you.,"I had the worst experience working here. I was blindsided with a poor performance review and given vague, unhelpful feedback that made no sense. My boss excluded me from meetings, spoke to me poorly, and held grudges whenever I made mistakes. Leadership encouraged me to “keep improving,” and offered to mentor me only to lay me off six months later. The VP was incompetent and openly said horrible things about her employees, while showing favoritism toward men in the office. Overall, leadership is a joke unprofessional, toxic, and completely lacking in accountability. I'm not sure how my boss thinks she is a good one. No diversity either and not accpeting of different kinds of people. I was told I don't fit in","Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm
Prologis is a great place to work!,"Sep 25, 2025","I have only been here for a couple months but the culture at Prologis is amazing! It truly feels like a connected team and everyone is very willing to help/support each other. Given the scale and size of the company, the opportunities for growth or development are endless, especially if you have a natural curiosity to explore potential solutions. The benefits package far exceeds any of my previous employers.",Work from home is available and possible but given the need for significant team interaction and culture development there is limited work from home opportunities,"Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm
Continuing excellence,"Sep 28, 2025","The workplace community and colleagues is one Prologis' greatest strengths. Everyone is expected to work hard, but doing so with a team you value makes a big difference. Innovation is a constant - team members are encouraged and expected to try what has not been done before.",Prologis is not for employees looking for a static environment.,"Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm
Great place to work,"Oct 31, 2025",Good people and culture here,It you don't perform you will struggle.,"Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm
Prologis is a great place to work!,"Jun 13, 2025","Culture - It's the reason I am still here after almost 13yrs. People - You will be challenged and pushed as you are surrounded by truly the best in the industry. Expect change, its a differentiator for us and our people and its constant... which means you will always be learnign something new. Innovative - We welcome new ideas and are eager to find better ways of doing things. This is a culture that welcomes innovative ideas that challenge the status quo. Offices - The offices are all newly remodeled and provide a welcoming, unique feel that attracts top talent in the markets we serve. Inclusive - We have an incredibly diverse workforce which provides a welcoming and inclusive work environment where all voices are welcomed and heard.","Challenging/Expect Constant Change - Not for everyone as we are looking for people who are willing to push themselves to maximize their potential and grow together. This is a place to create a career, not just have a job.","Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm
Great company,"Sep 17, 2025",Company has an outsized global impact to the size of its employee population. The innovation we're doing keeps our employees both energized and proud. Leadership prioritizes employee communications and is highly focused on nurturing a strong culture.,"More of a sign of the times than specific to Prologis, but recognize people sometimes feel like work/life balance can challenging. Most managers pay close attention to that to ensure employees do feel that support in managing workload in a fast-paced, exciting work environment.","Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm
Refreshing corporate and team environment,"Sep 25, 2025","I feel proud to work at Prologis. The leaders that I've interacted with are open and involved but not overburdening. Fellow team members are kind, welcoming and reliable. Overall a great work environment.",Medical benefits could be better - the network of doctors we have access to isn't great (ex: seems like most of them aren't accepting new patients). Flexibility/sentiment around the days in office policy seems to vary from person to person as well.,"Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm
Great people! Great place to work!,"Sep 4, 2025","The people here are genuinely smart, dynamic, and passionate. The collaborative environment is very different from the competition you normally see in a bull pen. You are truly supported in what you do. One of the quotes at Prologis is ""Fail fast"", this means that it is great to make mistakes as long as you learn from them. It is a great place to grow!","Prologis is a very global company, so you would probably be working on a project overseas at some point - it can be difficult across time zones and connecting with people you have never met in person.","Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm
The type of company you want to work at for decades,"Sep 5, 2025","Dedicated, brilliant and engaged leadership team, amazing work-life balance, competitive pay and agile teams.","Not necessarily a con because it is just a part of being at such a fast-growing company, but there could be strong communication across business lines. This is something that the company is clearly working on as a part of its strategic growth of new business lines.","Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm
