title,rating,date,pros,cons,company,ticker,property_type,scrape_date,glassdoor_url
Progressive company,5.0,"Feb 22, 2023",Listens to its people - takes employee feedback seriously and seeks input from all levels of the company.,"Lots of work, smaller workforce than when I first started","Alexander & Baldwin, Inc.",ALEX,Diversified,2025-11-21,https://www.glassdoor.com/Reviews/Alexander-and-Baldwin-Reviews-E1101.htm
"Progressive, ethical employer",5.0,"Nov 4, 2020","A&B leadership continually reviews and implements practices to benefit its employees, including improved recognition programs, supporting up and coming leaders and encouraging new ideas and dialogue. The company actively pursues improvements to its diversity and inclusion programs and hiring practices so its workforce mirrors today's society. It is a humble, consistent charitable organization that refrains from seeking recognition for its community support across Hawaii.",A&B has the healthiest work environment I've enjoyed throughout my career. I would have liked the opportunity to begin working with them earlier.,"Alexander & Baldwin, Inc.",ALEX,Diversified,2025-11-21,https://www.glassdoor.com/Reviews/Alexander-and-Baldwin-Reviews-E1101.htm
Only work here if you don't want to think.,1.0,"Jun 11, 2008",Perfect for underachievers looking to work strictly 8-4pm and complete meaningless tasks. Relatively good pay for the islands.,No thought goes into process or the work at the corporate level. The operating units openly talk in disgust about the CEO and top management. Very hard to find a business leader in Honolulu who doesn't see Allen Doane (CEO) as having a huge ego which gets in the way of good business discipline.,"Alexander & Baldwin, Inc.",ALEX,Diversified,2025-11-21,https://www.glassdoor.com/Reviews/Alexander-and-Baldwin-Reviews-E1101.htm
"Good Pay, Low Expectations",2.0,"Dec 6, 2014",The overall compensation structure is good for middle to higher management - some in top tiers make very good $$ without contributing much.,Don't expect much in way of proactive leadership. Very reactionary and stultifying.,"Alexander & Baldwin, Inc.",ALEX,Diversified,2025-11-21,https://www.glassdoor.com/Reviews/Alexander-and-Baldwin-Reviews-E1101.htm
Continuous improvement toward positive work environment,4.0,"Jul 14, 2021",Employee communications are frequent and transparent. HR working on providing a work culture where learning opportunities are abundant. CEO truly cares about employees.,Alignment by all executives with CEO vision for work environment could be stronger.,"Alexander & Baldwin, Inc.",ALEX,Diversified,2025-11-21,https://www.glassdoor.com/Reviews/Alexander-and-Baldwin-Reviews-E1101.htm
Executive Assistant and Office Manager,5.0,"Jul 24, 2015","Excellent environment, company ran like a well-oiled machine. Great compensation and benefits.",Office closure in San Francisco,"Alexander & Baldwin, Inc.",ALEX,Diversified,2025-11-21,https://www.glassdoor.com/Reviews/Alexander-and-Baldwin-Reviews-E1101.htm
Good,3.0,"Apr 19, 2021","balance, pay, people, holiday . party","vacation day, sick day, turn over","Alexander & Baldwin, Inc.",ALEX,Diversified,2025-11-21,https://www.glassdoor.com/Reviews/Alexander-and-Baldwin-Reviews-E1101.htm
Good opportunity,5.0,"May 20, 2024",Given resources to succeed here.,"industry has yet to go through tech innovation, lots of unknown. not many cons with company","Angel Oak Mortgage, Inc.",AOMR,Mortgage,2025-11-21,https://www.glassdoor.com/Reviews/Angel-Oak-Mortgage-Solutions-Reviews-E3307166.htm
Not what they used to be,3.0,"Mar 26, 2025","Remote work, ability to earn $$$$","Turn times are not the best, cost of benefits and options","Angel Oak Mortgage, Inc.",AOMR,Mortgage,2025-11-21,https://www.glassdoor.com/Reviews/Angel-Oak-Mortgage-Solutions-Reviews-E3307166.htm
Work is hard but pay is solid.,4.0,"May 21, 2024",The pay and benefits are decent.,Manual underwriter to AMOS guidelines is very different from Conventional.,"Angel Oak Mortgage, Inc.",AOMR,Mortgage,2025-11-21,https://www.glassdoor.com/Reviews/Angel-Oak-Mortgage-Solutions-Reviews-E3307166.htm
Its a job,3.0,"Jan 12, 2024","Very Busy, no shortage on deals to look at. Rates are higher then other lenders for conventional loans, makes them tough to land. They have great NON QM mortgages, but with the rate hikes, market has slowed to crawl.","Hired too many people. Success rate diminished as more people brought on, not enough good leads to go around.","Angel Oak Mortgage, Inc.",AOMR,Mortgage,2025-11-21,https://www.glassdoor.com/Reviews/Angel-Oak-Mortgage-Solutions-Reviews-E3307166.htm
,1.0,"Sep 3, 2023","None. Wait, the building is nice and in a nice area.","This company doesn't care about its employees, AT ALL. However if you like free lunches over sustainable compensation, or the billionaire owners come to the company to visit tell you the company is in great financial condition and don't worry about your jobs to then lay off over 50% of the company a week later w/ no notice or severance package then this is the company for you!","Angel Oak Mortgage, Inc.",AOMR,Mortgage,2025-11-21,https://www.glassdoor.com/Reviews/Angel-Oak-Mortgage-Solutions-Reviews-E3307166.htm
