title,rating,date,pros,cons,company,ticker,property_type,scrape_date,glassdoor_url,pros_raw,pros_cleaned,cons_raw,cons_cleaned,title_raw,title_cleaned,sentiment_positive,sentiment_negative,sentiment_neutral,sentiment_compound,sentiment_label,lm_positive_count,lm_negative_count,lm_net_score
Nearly three years in,5.0,2024-09-11,- GREAT people - non-hierarchal mindset - interesting work - compensation / benefits - room to grow and move up,"Company is growing fast. Hope the inclusive, collaborative and supportive environment remains intact","Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm,- GREAT people - non-hierarchal mindset - interesting work - compensation / benefits - room to grow and move up,great non hierarch mindset interest compens benefit room grow move,"Company is growing fast. Hope the inclusive, collaborative and supportive environment remains intact",grow hope collabor support environ remain intact,Nearly three years in,nearli three year,0.7398978471755981,0.00897740013897419,0.2511247992515564,0.7309204339981079,positive,1,0,0.1
"Great place to work, awesome culture, and innovative company",5.0,2024-09-04,"Prologis is a great place to work and leader in the industry. Our leadership team drives a thriving, focused culture to perform and meet / exceed market expectations","As with any company, remote and spread out working makes community harder but Prologis seeks to pull together virtually as best possible with initiatives like our IMPACT days.","Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm,"Prologis is a great place to work and leader in the industry. Our leadership team drives a thriving, focused culture to perform and meet / exceed market expectations",prolog great place leader leadership team drive focus cultur perform meet exceed market expect,"As with any company, remote and spread out working makes community harder but Prologis seeks to pull together virtually as best possible with initiatives like our IMPACT days.",remot spread make commun harder prolog seek pull togeth virtual best possibl initi impact,"Great place to work, awesome culture, and innovative company",great place awesom innov,0.18087223172187805,0.011800025589764118,0.8073276877403259,0.1690722107887268,neutral,0,0,0.0
"High-speed, high-autonomy environment with the right balance of structure",5.0,2025-08-29,"A company where you can move fast, take ownership, and still count on solid support systems.",Fast-pace isn’t for everyone. Less hand-holding. Evolving processes can be tough to navigate. Workload balance can fluctuate. Not a fit for everyone.,"Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm,"A company where you can move fast, take ownership, and still count on solid support systems.",move take still count solid support,Fast-pace isn’t for everyone. Less hand-holding. Evolving processes can be tough to navigate. Workload balance can fluctuate. Not a fit for everyone.,fast pace less hand evolv process tough workload balanc fit,"High-speed, high-autonomy environment with the right balance of structure",high high autonomi environ right balanc structur,0.59464430809021,0.03136984631419182,0.3739858567714691,0.5632744431495667,positive,0,0,0.0
Great place to work,5.0,2025-04-21,"- visionary leadership - growth industry - incredible bench strength - innovative - small employee base for a company of this size - steady, seasoned leaders - willingness to take chances - focus on hiring the best talent","- because many employees stay at the company so long, promotion opportunities can be limited","Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm,"- visionary leadership - growth industry - incredible bench strength - innovative - small employee base for a company of this size - steady, seasoned leaders - willingness to take chances - focus on hiring the best talent",visionari leadership growth industri incred bench strength innov small base size season leader willing take chanc focu hire best talent,"- because many employees stay at the company so long, promotion opportunities can be limited",mani employe stay promot opportun limit,Great place to work,great place,0.22182925045490265,0.017381472513079643,0.7607892751693726,0.20444777607917786,neutral,1,0,0.05
Good company to work for,4.0,2025-01-12,Cares about employees well being and development,Little opportunity for upward mobility,"Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm,Cares about employees well being and development,care employe well develop,Little opportunity for upward mobility,littl opportun upward mobil,Good company to work for,good,0.3461100161075592,0.011664979159832,0.6422249674797058,0.3344450294971466,neutral,0,0,0.0
Fun Real Estate Company,5.0,2024-09-11,Prologis takes care of its employees first and that goes a long way in so many ways.,You will worry on having a boring time at work because you won't have any.,"Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm,Prologis takes care of its employees first and that goes a long way in so many ways.,prolog take care employe first goe long way mani,You will worry on having a boring time at work because you won't have any.,worri bore,Fun Real Estate Company,fun real estat,0.07119708508253098,0.022957749664783478,0.9058451652526855,0.0482393354177475,neutral,0,0,0.0
Great Company with Great Culture,5.0,2025-04-21,"Growth company that is geographically diverse with many opportunities for career growth. Likes to promote from within. Employee culture is fantastic, with the team being the focus. Good compensation and support from the company.","Fast paced, even in the ""slow"" times, workloads can be overwhelming.","Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm,"Growth company that is geographically diverse with many opportunities for career growth. Likes to promote from within. Employee culture is fantastic, with the team being the focus. Good compensation and support from the company.",growth geograph divers mani opportun career like promot cultur team good compens support,"Fast paced, even in the ""slow"" times, workloads can be overwhelming.",fast even slow workload,Great Company with Great Culture,great great cultur,0.26932018995285034,0.008908319287002087,0.7217714786529541,0.2604118585586548,neutral,1,0,0.07692307692307693
"Great company, people and culture",5.0,2024-09-06,* Work is interesting and makes an impact on the world * People are great * Leadership is accessible and engaged * Strong culture * World-class offices,"Work/life balance can be a challenge but given the pace of our world and how technology has blurred the lines between work and home, I think this is the case for most corp jobs. The modern way of working means it can be tough to unplug and keep the work moving forward.","Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm,* Work is interesting and makes an impact on the world * People are great * Leadership is accessible and engaged * Strong culture * World-class offices,interest make impact world great leadership access engag strong cultur world class offic,"Work/life balance can be a challenge but given the pace of our world and how technology has blurred the lines between work and home, I think this is the case for most corp jobs. The modern way of working means it can be tough to unplug and keep the work moving forward.",life balanc challeng given pace world technolog blur line think case corp modern way mean tough unplug keep move,"Great company, people and culture",great cultur,0.2764517366886139,0.009095028974115849,0.7144532799720764,0.2673566937446594,neutral,1,0,0.07692307692307693
A solid company that really tries hard to do its best,4.0,2025-03-19,Heavy investment in talent development A culture that includes elements of fun and team bonding Great opportunities for promotion,The pace can feel too fast sometimes,"Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm,Heavy investment in talent development A culture that includes elements of fun and team bonding Great opportunities for promotion,heavi invest talent develop cultur includ element fun team bond great opportun promot,The pace can feel too fast sometimes,pace feel fast sometim,A solid company that really tries hard to do its best,solid realli tri hard best,0.2829696536064148,0.011506231501698494,0.7055240869522095,0.27146342396736145,neutral,0,0,0.0
Really impressed with this company,5.0,2025-09-08,"After spending a decade in big tech, I was surprised to find a company that takes many of the great attributes and leaves the negative aspects of many other big Silicon Valley corporations (in my experience since being here 1.5 years). From the comprehensive (and fun!) multi-day, in-person onboarding trainings, to company-wide volunteer days (IMPACT Day), social events that embrace different cultures and celebrate diversity - Prologis is a company that invests in its employees. I also appreciate that it routinely asks employees what it can do better, and listens. Teams are continually driving towards excellence - whether that’s finding a more effective process or implementing new technology to help teams work smarter. But in my experience, being “human” is still valued. People lead with kindness and empathy in a way that feels really genuine. The cascading effect creates a team dynamic that is pretty rare in my experience.","For those that love remote work, we’re currently in the office 3x/week (may vary based on the team). At least the snacks are good :)","Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm,"After spending a decade in big tech, I was surprised to find a company that takes many of the great attributes and leaves the negative aspects of many other big Silicon Valley corporations (in my experience since being here 1.5 years). From the comprehensive (and fun!) multi-day, in-person onboarding trainings, to company-wide volunteer days (IMPACT Day), social events that embrace different cultures and celebrate diversity - Prologis is a company that invests in its employees. I also appreciate that it routinely asks employees what it can do better, and listens. Teams are continually driving towards excellence - whether that’s finding a more effective process or implementing new technology to help teams work smarter. But in my experience, being “human” is still valued. People lead with kindness and empathy in a way that feels really genuine. The cascading effect creates a team dynamic that is pretty rare in my experience.",spend decad big surpris find take mani great attribut leav neg aspect mani big silicon valley corpor experi sinc year comprehens multi person onboard wide volunt day impact day social event embrac differ cultur celebr divers prolog invest appreci routin ask employe team continu drive toward excel whether find effect process implement new technolog help team human still lead kind empathi way feel realli cascad effect creat team dynam pretti rare,"For those that love remote work, we’re currently in the office 3x/week (may vary based on the team). At least the snacks are good :)",love remot current offic week may vari base team least snack good,Really impressed with this company,realli impress,0.17824605107307434,0.01716720312833786,0.8045867085456848,0.16107884049415588,neutral,0,0,0.0
