,sentiment_score_mean,sentiment_score_mean,sentiment_score_mean,rating_mean,rating_mean,rating_mean,review_count,review_count,review_count
,mean,std,count,mean,std,count,mean,std,count
property_type,,,,,,,,,
Data Center,-0.18350570584579523,0.0994107432778934,17,3.7793862819514508,0.3381309814734512,17,127.23529411764706,119.6837130793935,17
Diversified,-0.2426131987758395,0.1817956856713811,60,3.6514858464928626,0.6242674793931153,60,9.716666666666667,8.252563375090615,60
Health Care,-0.23213145092374252,0.20242132162615994,60,3.6174052695252357,0.7366245772373429,60,38.61666666666667,91.02599585230558,60
Industrial,-0.2750245681994682,0.2136624831362615,41,3.2745724034004486,0.7747392620913292,41,48.19512195121951,51.99962476412457,41
Lodging/Resorts,-0.242169787911052,0.2284365525232813,22,3.708081312626767,0.9084753310398245,22,5.7272727272727275,3.1949635690868536,22
Mortgage,-0.26442340280875454,0.1708942104433777,56,3.454420090392642,0.6143086521007092,56,36.964285714285715,71.31924750679204,56
Office,-0.23388286931582464,0.1983789171548383,97,3.542417893276468,0.6270836986442815,97,7.195876288659794,4.219595101176108,97
Residential,-0.23245440887026,0.1634897343612757,155,3.4325520828954175,0.6195435296568317,155,40.825806451612905,34.20396202217289,155
Retail,-0.24618964503765525,0.2109188716031395,138,3.5203723416057016,0.6666529315238819,138,13.173913043478262,17.32637036784595,138
Self-storage,-0.32055370248698867,0.13694703240533246,66,3.1609051703817057,0.7293267126955378,66,94.31818181818181,131.20567050256622,66
Specialty,-0.2600729426320276,0.13073978630951524,34,3.222074732170507,0.658796939932786,34,32.794117647058826,32.25070298671418,34
Telecommunications,-0.2729494619777017,0.1536054380659582,44,3.275682161594304,0.5005599786027528,44,42.97727272727273,38.58514513316162,44
Timberland,-0.3528687339027156,0.11464890682780896,18,3.3386301663003577,0.31811813428766783,18,40.611111111111114,20.038606529247158,18
