ticker,year,chatgpt_language_index,chatgpt_index_pros,chatgpt_index_cons,rating,review_count,word_count_pros,word_count_cons,POST_CHATGPT,index_quartile
AAT,2014,0.0,0.0,0.0,3.5,1,20,40,0,Q1 (Low)
AAT,2015,0.0,0.0,0.0,3.0,1,11,17,0,Q1 (Low)
AAT,2016,0.0557320688618994,0.0229298576727784,0.0885342800510205,3.333333333333333,3,101,45,0,Q3
AAT,2017,0.0,0.0,0.0,1.0,2,15,69,0,Q1 (Low)
AAT,2018,0.0,0.0,0.0,1.0,2,13,55,0,Q1 (Low)
AAT,2019,0.0801495381432027,0.0658749417668968,0.0944241345195086,2.5,2,37,45,0,Q4 (High)
AAT,2020,0.0223822618106512,0.0,0.0447645236213025,2.6666666666666665,3,30,89,0,Q2
AAT,2021,0.1163804213416149,0.0,0.2327608426832299,3.2,4,22,22,0,Q4 (High)
AAT,2022,0.0,0.0,0.0,5.0,2,10,12,0,Q1 (Low)
AAT,2023,0.188978001548191,0.1284672559547514,0.2494887471416307,4.0,3,37,33,1,Q4 (High)
AAT,2024,0.0578384234099317,0.0,0.1156768468198635,1.0,1,3,81,1,Q3
AAT,2025,0.0,0.0,0.0,2.6666666666666665,3,89,24,1,Q1 (Low)
ABR,2016,0.0364921552652876,0.0729843105305752,0.0,4.75,4,55,29,0,Q2
ABR,2017,0.0492748005308642,0.0985496010617284,0.0,2.5,4,47,53,0,Q3
ABR,2018,0.0451365341736145,0.090273068347229,0.0,3.4,5,27,47,0,Q3
ABR,2019,0.0210118348739239,0.0420236697478479,0.0,3.0,5,58,107,0,Q2
ABR,2020,0.0429822953619471,0.0859645907238943,0.0,3.583333333333333,11,112,141,0,Q2
ABR,2021,0.0251496744461682,0.0502993488923365,0.0,3.380952380952381,20,189,260,0,Q2
ABR,2022,0.0528264746657325,0.0820550758797091,0.023597873451756,3.074074074074074,27,193,217,0,Q3
ABR,2023,0.101434611482256,0.158244571433749,0.0446246515307631,3.1333333333333333,30,341,414,1,Q4 (High)
ABR,2024,0.0460440952031469,0.0608988318806754,0.0311893585256184,4.044444444444444,45,590,398,1,Q3
ABR,2025,0.049488349789519,0.0484468661531992,0.0505298334258388,3.821428571428572,26,425,335,1,Q3
ADC,2018,0.0,0.0,0.0,2.0,1,9,9,0,Q1 (Low)
ADC,2019,0.0817131933341902,0.0,0.1634263866683804,4.0,1,26,26,0,Q4 (High)
ADC,2021,0.0603642818529685,0.0,0.120728563705937,3.0,2,10,33,0,Q3
ADC,2022,0.0,0.0,0.0,1.5,2,23,150,0,Q1 (Low)
ADC,2023,0.1654225446393299,0.3308450892786598,0.0,4.0,1,7,13,1,Q4 (High)
ADC,2024,0.0,0.0,0.0,5.0,1,3,4,1,Q1 (Low)
ADC,2025,0.0526344460216049,0.1052688920432099,0.0,5.0,1,44,5,1,Q3
AHH,2016,0.0990268431317875,0.198053686263575,0.0,4.0,2,24,30,0,Q4 (High)
AHH,2017,0.0,0.0,0.0,3.6666666666666665,3,45,33,0,Q1 (Low)
AHH,2018,0.0,0.0,0.0,1.0,1,3,25,0,Q1 (Low)
AHH,2019,0.0,0.0,0.0,5.0,1,6,7,0,Q1 (Low)
AHH,2020,0.0,0.0,0.0,2.0,1,4,56,0,Q1 (Low)
AHH,2021,0.0373534778217841,0.0747069556435683,0.0,3.0,2,31,6,0,Q2
AHH,2022,0.0686187962625625,0.137237592525125,0.0,4.75,4,63,13,0,Q4 (High)
AHH,2023,0.0839036200678418,0.0926366249980247,0.0751706151376589,3.5,8,50,106,1,Q4 (High)
AHH,2024,0.0518589967101102,0.1037179934202205,0.0,4.375,7,47,30,1,Q3
AHR,2022,0.0,0.0,0.0,4.5,2,7,9,0,Q1 (Low)
AHR,2023,0.0,0.0,0.0,5.0,1,5,4,1,Q1 (Low)
AHR,2024,0.0890736778827161,0.1781473557654322,0.0,4.0,2,13,14,1,Q4 (High)
AHR,2025,0.0103278510397253,0.0206557020794507,0.0,5.0,2,118,20,1,Q1 (Low)
AHT,2015,0.0708181008896315,0.0,0.141636201779263,4.5,2,30,30,0,Q4 (High)
AHT,2016,0.0,0.0,0.0,3.0,2,9,10,0,Q1 (Low)
AHT,2017,0.2508835674488525,0.5017671348977051,0.0,3.0,1,8,8,0,Q4 (High)
AHT,2020,0.0,0.0,0.0,3.0,1,5,4,0,Q1 (Low)
AHT,2021,0.091824202276547,0.0840473394956959,0.099601065057398,4.0,6,29,40,0,Q4 (High)
AHT,2022,0.0,0.0,0.0,4.333333333333333,3,25,16,0,Q1 (Low)
AHT,2023,0.0,0.0,0.0,4.0,1,3,5,1,Q1 (Low)
AHT,2024,0.1060170221214075,0.1901315388130321,0.0219025054297829,4.0,4,25,194,1,Q4 (High)
AHT,2025,0.4062288075625305,0.812457615125061,0.0,4.0,1,3,4,1,Q4 (High)
ALEX,2014,0.0,0.0,0.0,2.0,1,14,8,0,Q1 (Low)
ALEX,2015,0.1157957812475309,0.2315915624950619,0.0,5.0,1,10,4,0,Q4 (High)
ALEX,2020,0.0,0.0,0.0,5.0,1,42,13,0,Q1 (Low)
ALEX,2021,0.0,0.0,0.0,3.5,2,20,13,0,Q1 (Low)
ALEX,2023,0.0,0.0,0.0,5.0,1,10,6,1,Q1 (Low)
