ticker,year,genai_productivity_index,mnir_score_pros,mnir_score_cons,genai_intensity,rating,review_count,word_count_pros,word_count_cons,post_chatgpt,index_quartile
AAT,2014,-0.0466151888399034,-0.1028834854365657,0.0096531077567589,0.0,3.5,1,20,40,0,Q2
AAT,2015,-0.0033243658730079,-0.0502639684842286,0.0436152367382128,0.0454545454545454,3.0,1,11,17,0,Q4 (High)
AAT,2016,-0.1582355069093298,-0.1850933998775329,-0.1313776139411266,0.0,3.333333333333333,3,101,45,0,Q1 (Low)
AAT,2017,-0.0461914121613919,0.012829614376286,-0.1052124386990699,0.0,1.0,2,15,69,0,Q2
AAT,2018,-0.0090874064189704,0.0085338072846102,-0.0267086201225512,0.0,1.0,2,13,55,0,Q4 (High)
AAT,2019,-0.1014692125700683,-0.0472680379125255,-0.1556703872276112,0.0,2.5,2,37,45,0,Q1 (Low)
AAT,2020,-0.0863958786870656,-0.13550781769813,-0.0372839396760011,0.0,2.6666666666666665,3,30,89,0,Q1 (Low)
AAT,2021,-0.0507332551328001,-0.0558731960230915,-0.0455933142425087,0.0,3.2,4,22,22,0,Q2
AAT,2022,-0.0416611490564034,-0.0640134671823377,-0.019308830930469,0.0,5.0,2,10,12,0,Q3
AAT,2023,-0.1029266058046453,-0.1158393520520501,-0.0900138595572405,0.0,4.0,3,37,33,1,Q1 (Low)
AAT,2024,-0.0368920906083308,-0.0517601472053683,-0.0220240340112934,0.0,1.0,1,3,81,1,Q3
AAT,2025,-0.0400706049887482,-0.0955744207718549,0.0154332107943584,0.0,2.6666666666666665,3,89,24,1,Q3
ABR,2016,-0.0819416566749333,-0.0342676804669027,-0.129615632882964,0.0,4.75,4,55,29,0,Q1 (Low)
ABR,2017,-0.0013381533590483,-0.0209740069583686,0.0182977002402719,0.0106382978723404,2.5,4,47,53,0,Q4 (High)
ABR,2018,-0.00514728516403,0.0281371020238586,-0.0384316723519187,0.0185185185185185,3.4,5,27,47,0,Q4 (High)
ABR,2019,-0.0281416398953707,-0.0354705014891241,-0.0208127783016173,0.0086206896551724,3.0,5,58,107,0,Q3
ABR,2020,-0.0315654641818934,-0.0247553229384062,-0.0383756054253806,0.0044642857142857,3.583333333333333,11,112,141,0,Q3
ABR,2021,-0.0059712306120063,0.0039470325615809,-0.0158894937855935,0.0072140822140822,3.380952380952381,20,189,260,0,Q4 (High)
ABR,2022,0.0066315061251267,0.0014354630466543,0.0118275492035991,0.0120937895465724,3.074074074074074,27,193,217,0,Q4 (High)
ABR,2023,-0.0205508970717323,-0.0232370553471699,-0.0178647387962946,0.0097468372363183,3.1333333333333333,30,341,414,1,Q3
ABR,2024,-0.0088127222439844,-0.0176697245918823,4.42801039133862e-05,0.0092922238310195,4.044444444444444,45,590,398,1,Q4 (High)
ABR,2025,-0.0197053748574355,-0.0322814966882905,-0.0071292530265805,0.0070588235294117,3.821428571428572,26,425,335,1,Q3
ADC,2018,0.0988822287021157,0.1386049126840916,0.0591595447201398,0.0555555555555555,2.0,1,9,9,0,Q4 (High)
ADC,2019,0.0184250532956763,0.044864349196939,-0.0080142426055864,0.0192307692307692,4.0,1,26,26,0,Q4 (High)
