ticker,year,mnir_score_pros,mnir_score_cons,genai_productivity_index
AAT,2014,-0.10288348543656572,0.00965310775675891,-0.046615188839903406
AAT,2015,-0.05026396848422867,0.043615236738212826,-0.003324365873007922
AAT,2016,-0.18509339987753295,-0.13137761394112668,-0.1582355069093298
AAT,2017,0.012829614376286047,-0.1052124386990699,-0.04619141216139193
AAT,2018,0.008533807284610291,-0.02670862012255124,-0.009087406418970474
AAT,2019,-0.04726803791252554,-0.1556703872276112,-0.10146921257006837
AAT,2020,-0.13550781769813008,-0.03728393967600111,-0.0863958786870656
AAT,2021,-0.055873196023091556,-0.04559331424250877,-0.050733255132800165
AAT,2022,-0.06401346718233777,-0.01930883093046909,-0.04166114905640343
AAT,2023,-0.11583935205205019,-0.09001385955724052,-0.10292660580464535
AAT,2024,-0.05176014720536834,-0.022024034011293443,-0.03689209060833089
AAT,2025,-0.09557442077185492,0.01543321079435843,-0.040070604988748246
ABR,2016,-0.03426768046690272,-0.12961563288296407,-0.08194165667493339
ABR,2017,-0.020974006958368666,0.01829770024027195,-0.001338153359048357
ABR,2018,0.028137102023858607,-0.03843167235191877,-0.005147285164030083
ABR,2019,-0.03547050148912419,-0.020812778301617332,-0.02814163989537076
ABR,2020,-0.024755322938406262,-0.038375605425380654,-0.03156546418189346
ABR,2021,0.003947032561580924,-0.015889493785593598,-0.005971230612006337
ABR,2022,0.0014354630466543094,0.011827549203599137,0.006631506125126724
ABR,2023,-0.023237055347169983,-0.017864738796294626,-0.020550897071732306
ABR,2024,-0.017669724591882364,4.42801039133862e-05,-0.008812722243984489
ABR,2025,-0.03228149668829054,-0.00712925302658055,-0.019705374857435547
ADC,2018,0.1386049126840916,0.05915954472013986,0.09888222870211574
ADC,2019,0.044864349196939074,-0.008014242605586464,0.018425053295676307
ADC,2021,-0.009580321897419919,-0.014771348745750694,-0.012175835321585306
ADC,2022,0.08398046250516131,0.005081695273041295,0.0445310788891013
ADC,2023,-0.04210635285223102,0.008117711260669042,-0.01699432079578099
ADC,2024,-0.02841860850662094,-0.18803476112655682,-0.10822668481658888
ADC,2025,0.024445681512058788,-0.10298783786141814,-0.039271078174679674
AHH,2016,-0.017596405669982336,-0.02277566334122111,-0.020186034505601722
AHH,2017,-0.17257989884282418,0.015304932969154113,-0.07863748293683503
AHH,2018,0.0,0.007404920592801058,0.003702460296400529
AHH,2019,-0.4117162500138723,-0.2724685178760636,-0.34209238394496794
AHH,2020,0.0673084198426101,-0.08537670448282547,-0.009034142320107685
AHH,2021,-0.04818151676865691,-0.09813791415758105,-0.07315971546311897
AHH,2022,-0.022117225770470084,0.05218726391547014,0.015035019072500029
AHH,2023,-0.021902725658944047,-0.02898324221230905,-0.02544298393562655
AHH,2024,-0.0038105722426808562,0.03129134665534867,0.013740387206333906
AHR,2022,0.011414283252530313,-0.08798041117840011,-0.0382830639629349
AHR,2023,0.047803486492865865,0.0,0.023901743246432933
AHR,2024,0.14322212930739783,0.10633198706446599,0.1247770581859319
AHR,2025,-0.14202648970638757,0.0034891232140392527,-0.06926868324617416
AHT,2015,-0.08542247095726369,-0.017220217090931928,-0.051321344024097805
AHT,2016,0.03758807499633436,0.017890135227340714,0.02773910511183754
AHT,2017,-0.07345935035468837,-0.02674851050243559,-0.05010393042856198
AHT,2020,0.05645785105185172,0.0,0.02822892552592586
AHT,2021,-0.00123633270701054,-0.01596588533916845,-0.008601109023089495
AHT,2022,-0.06675472089601181,-0.05460907316906107,-0.060681897032536444
AHT,2023,-0.02841860850662094,-0.3382096663693396,-0.18331413743798025
AHT,2024,-0.04601387159684365,-0.04767857934274551,-0.04684622546979458
AHT,2025,-0.08825373482750692,-0.05793328556115642,-0.07309351019433168
ALEX,2014,0.013696188576139356,-0.005013752541914204,0.004341218017112576
ALEX,2015,0.06635670710865427,0.10971049757967764,0.08803360234416596
ALEX,2020,-0.07785020683894382,-0.05494457837109319,-0.06639739260501851
ALEX,2021,-0.05843998603375816,-0.049527253084306,-0.05398361955903208
ALEX,2023,-0.2976456179366376,-0.3368590265066061,-0.3172523222216218
ALX,2020,-0.4862802292688151,0.0,-0.24314011463440754
ALX,2021,-0.11190393698591919,0.011465449461322776,-0.05021924376229821
ALX,2024,-0.07510355459191562,-0.21361837180901108,-0.14436096320046335
AMH,2014,-0.055804566616290255,-0.06265738543153535,-0.0592309760239128
AMH,2015,-0.05306948968550794,-0.08055880562149512,-0.06681414765350152
AMH,2016,-0.07158704555221364,-0.07811230061991599,-0.07484967308606481
AMH,2017,-0.07823146966833476,-0.07155780918811226,-0.07489463942822351
AMH,2018,-0.0855272026229631,-0.07069071059400596,-0.07810895660848452
AMH,2019,-0.08282172059167071,-0.08368930128465968,-0.08325551093816519
AMH,2020,-0.0894111237613929,-0.060961084225972455,-0.07518610399368268
AMH,2021,-0.07640627974730071,-0.06198690160747922,-0.06919659067738997
AMH,2022,-0.08520623316261158,-0.0787960114666852,-0.0820011223146484
AMH,2023,-0.05561452616975757,-0.06070772087769953,-0.05816112352372855
AMH,2024,-0.049488670924395864,-0.06321357244833692,-0.05635112168636639
AMH,2025,-0.07732645334815542,-0.0951316915203803,-0.08622907243426786
AMT,2014,0.0034385211346850903,0.011652601949332275,0.007545561542008682
AMT,2015,-0.04081368892365238,-0.014817202724017275,-0.027815445823834828
AMT,2016,-0.0054692201042144915,-0.015452494024306419,-0.010460857064260455
AMT,2017,-0.00037854773466353326,0.00905382883111784,0.004337640548227153
AMT,2018,-0.006645798631698653,0.012312343052673595,0.0028332722104874707
