word,section,coef,t_stat,p_value
bangalor,pros,3.027181214790753,2.8435909956144605,0.0044608269616351
payscal,pros,2.4183421744329263,588746.0669761586,0.0
carrer,cons,2.0266591124057536,2.6225460669073484,0.0087275468097977
audit,pros,1.9590542193497809,2.7701461135144783,0.0056031151021416
denial,pros,1.8673511719508795,2.786154580331035,0.0053337429891472
bucket,pros,1.8223153658915048,1.9840470141191795,0.0472505990906361
lawyer,pros,1.7424215364345548,2.144038557781165,0.0320297974455285
que,cons,1.6707371976790255,4.4005955411862585,1.0795418169150958e-05
digniti,pros,1.5301116872405605,2.1227514457954806,0.0337746854965603
carrer,pros,1.2789435205931177,3.510580923869848,0.0004471286895154
coder,pros,1.274968467436043,4.146577832603057,3.374814916630232e-05
tea,pros,1.1141423326756772,2.043739817035322,0.0409792574476969
wave,pros,1.1135190514272182,1.975085630655558,0.0482584312231928
omega,pros,1.034301317654374,14.511325378299262,1.027165199656926e-47
bucket,cons,1.0331988231863776,5.529552959249932,3.210478704842864e-08
tortur,pros,1.0146696031236164,2.3067278751987548,0.0210699952520092
apprais,cons,0.9919123998760572,7.818775599336289,5.3339598013428855e-15
cab,pros,0.9895423354298384,7.107361719363442,1.182821457476022e-12
pure,cons,0.979156944213502,2.0297038544745383,0.0423866508771996
wanna,pros,0.9784127545966226,2.634293290844573,0.0084312623968843
domain,pros,0.9783869855433832,4.478408778493187,7.520149323378531e-06
cab,cons,0.947709762898688,7.088054022984855,1.3601088108423628e-12
apprais,pros,0.933446310126247,4.329453858329416,1.4947958499908556e-05
omega,cons,0.9228539244280968,11.734697016223462,8.462883292595976e-32
document,pros,0.9204984005395136,2.115845781349876,0.0343579259634884
mangement,cons,0.8594898308919897,2.5063058445377884,0.0122000039771413
organis,pros,0.828059323345354,4.288392243118598,1.799710722515041e-05
bangalor,cons,0.8276352812529538,3.1325479421715063,0.0017329612302535
carrier,pros,0.8174946705317082,6.856503384441996,7.0566409736678925e-12
english,pros,0.8087087161360444,2.103354347104512,0.0354348060088168
copi,cons,0.7962025089242518,2.583661537576066,0.0097757676146158
bench,cons,0.7961885362990839,3.089004824174854,0.0020082817801115
increment,pros,0.7907613609361225,2.074073564812662,0.0380724792443709
cafeteria,cons,0.7799260765701775,6.800437227049505,1.0430211151152523e-11
trainer,pros,0.7686763383164782,6.493555924590828,8.383362521362128e-11
median,cons,0.7673550406251287,2.3492110115662266,0.0188132417472869
third,pros,0.7478942196281756,2.1060930994649936,0.0351962661316032
payscal,cons,0.7444367044579107,3.602539360328316,0.0003151236662035
increment,cons,0.7410124834497989,6.95261322175802,3.5858083241900576e-12
pathet,cons,0.7365923006352255,3.652315911396239,0.0002598858926965
meal,cons,0.7067585186224956,2.0920613630029585,0.0364330268438885
scope,pros,0.6994473884982197,5.0932922092394,3.5189869242884245e-07
claim,pros,0.696877965095136,3.537262311453396,0.0004042979087608
coder,cons,0.695367646642175,4.538504164269016,5.665467725208266e-06
surviv,pros,0.6646881970962638,3.0267099260628347,0.0024723108380829
somehow,pros,0.660876978707504,2.043048655777433,0.0410476218239048
combin,pros,0.65804161904907,2.4642251824488657,0.0137309815778252
websit,pros,0.6507124899308963,2.7371519719076107,0.0061973656113446
organis,cons,0.6436610031706532,3.0219431297637867,0.0025115772937603
audit,cons,0.6410161890363785,4.3539346938753845,1.3371555587793157e-05
